date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:33:14	3439/3439	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Nov%202018%2015:33:14%20GMT	http://87078.musicallyfame.co/robots.txt		(from )
10:33:15	11380/11380	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Nov%202018%2015:33:14%20GMT	http://87078.musicallyfame.co/	C:/My%20Web%20Sites/TIKTO1/87078.musicallyfame.co/index.html	(from )
10:33:16	122540/122540	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202017%2020:05:29%20GMT	http://musicallyfame.co/css/bootstrap.min.css	C:/My%20Web%20Sites/TIKTO1/musicallyfame.co/css/bootstrap.min.css	(from http://87078.musicallyfame.co/)
10:33:16	4665/4665	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202017%2020:05:30%20GMT	http://musicallyfame.co/css/style.css	C:/My%20Web%20Sites/TIKTO1/musicallyfame.co/css/style.css	(from http://87078.musicallyfame.co/)
10:33:16	14238/14238	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202017%2020:05:30%20GMT	http://musicallyfame.co/css/sweet-alert.css	C:/My%20Web%20Sites/TIKTO1/musicallyfame.co/css/sweet-alert.css	(from http://87078.musicallyfame.co/)
10:33:19	273199/273199	---M-Z	200	added ('OK')	application/javascript	etag:W/%2254499a47-42b2f%22	https://code.jquery.com/jquery-1.10.2.js	C:/My%20Web%20Sites/TIKTO1/code.jquery.com/jquery-1.10.2.js	(from http://87078.musicallyfame.co/)
10:33:19	68890/68890	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2023%20Jan%202017%2020:05:39%20GMT	http://musicallyfame.co/js/bootstrap.js	C:/My%20Web%20Sites/TIKTO1/musicallyfame.co/js/bootstrap.js	(from http://87078.musicallyfame.co/)
10:33:19	10452/10452	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2023%20Jan%202017%2020:05:40%20GMT	http://musicallyfame.co/js/sweet-alert.min.js	C:/My%20Web%20Sites/TIKTO1/musicallyfame.co/js/sweet-alert.min.js	(from http://87078.musicallyfame.co/)
10:33:20	1006/1006	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Jan%202017%2020:05:35%20GMT	http://musicallyfame.co/img/bg.png	C:/My%20Web%20Sites/TIKTO1/musicallyfame.co/img/bg.png	(from http://musicallyfame.co/css/style.css)
10:33:21	2918/2918	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Jan%202017%2020:05:36%20GMT	http://musicallyfame.co/img/user-form.png	C:/My%20Web%20Sites/TIKTO1/musicallyfame.co/img/user-form.png	(from http://musicallyfame.co/css/style.css)
10:33:21	2400/2400	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Jan%202017%2020:05:36%20GMT	http://musicallyfame.co/img/mail-form.png	C:/My%20Web%20Sites/TIKTO1/musicallyfame.co/img/mail-form.png	(from http://musicallyfame.co/css/style.css)
10:33:23	28961/28961	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Jan%202017%2020:05:36%20GMT	http://musicallyfame.co/img/bg-bloc.png	C:/My%20Web%20Sites/TIKTO1/musicallyfame.co/img/bg-bloc.png	(from http://musicallyfame.co/css/style.css)
10:33:24	72049/72049	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202017%2020:05:36%20GMT	http://musicallyfame.co/img/bg-vid.jpg	C:/My%20Web%20Sites/TIKTO1/musicallyfame.co/img/bg-vid.jpg	(from http://musicallyfame.co/css/style.css)
